2006,lexus,is 250,$6200,, 145000,, 6 cylinders,, gas, silver,, clean, other,
2001,ford,e150 econoline,$4200,, 80000,,,, gas,,, clean, automatic,
2008,mazda,speed3,$7900,, 145000,,,, gas,,, clean, manual,
2006,nissan,altima,$1000,,, good, 6 cylinders, fwd, gas, white, compact, clean, automatic, sedan
1991,chevrolet,1500 silverado,$1750,, 146000, excellent, 6 cylinders, rwd, gas, white, full-size, clean, automatic, pickup
1996,honda,accord,$1000,, 130000, good,,, gas,,, clean, automatic,
2003,Volkswagen,Jetta,$2500,, 164362, good, 4 cylinders, fwd, gas, grey, mid-size, clean, automatic, sedan
1983,datsun,,$250,,,,,, other,,, missing, other,
2005,Chrysler,300,, 2C3AA63HX5H693821,,,,, gas,,, clean, automatic,
2006,honda,civic sedan,$6000,,, good, 4 cylinders, fwd, gas, custom, mid-size, clean, manual, sedan
2008,Jeep,Wrangler Unlimited,$19000,, 93000, good,, 4wd, gas, silver,, clean, automatic,
2000,ford,taurus,$500,,,,,, gas,,, missing, automatic,
2008,Infiniti,G35,$2000,,,,,, gas,,, clean, automatic,
2013,honda,civic si,$15170, 2HGFB6E50DH700440, 59550, excellent, 4 cylinders, fwd, gas, black,, clean, manual, sedan
1997,dodge,ram 1500,$2500,, 145276, fair, 8 cylinders, fwd, gas, black, full-size, clean, automatic, pickup
2006,TOYOTA,AVALON,$1555,,, excellent, 6 cylinders, fwd, gas, white,, clean, automatic, sedan
2002,F150,XLT,$5200, 1ftrx18w02ka61244, 216000, good, 8 cylinders, 4wd, gas, yellow, full-size, clean, automatic, pickup
2001,Ford,F-350 super duty,$10500,, 280000, good, 8 cylinders, 4wd, diesel, white, full-size, clean, automatic, truck
2007,BMW,mits,$2000,,, good,, 4wd, gas, red,, clean, manual, sedan
2008,Honda,Accord,$7250,, 70033, excellent, 4 cylinders, fwd, gas, white, compact, rebuilt, automatic, sedan
2017,lexus,is 300,$36999,,,,,, gas,,, clean, automatic,
1988,88,jeep,$1450,,,,,, gas,,, clean, automatic,
2008,Honda,Accord,$7250,, 70033, excellent, 4 cylinders, fwd, gas, white, full-size, rebuilt, automatic, sedan
1987,nissan,hardbody,$2700,, 210000, excellent, 4 cylinders, rwd, gas, brown, compact, clean, manual, pickup
2008,Honda,Accord,$7250,, 70033, excellent, 4 cylinders, fwd, gas, white, mid-size, rebuilt, automatic, sedan
1995,chevrolet,2500,$200,,,,,, gas,,, clean, automatic,
2000,volkswagen,passat,$2700,, 137000, fair, 6 cylinders, fwd, gas, blue,, clean, automatic, wagon
2000,buick,regal,$2500,,, excellent, 6 cylinders,, gas,,, clean, automatic,
2000,buick,regal,$2500,,, excellent, 6 cylinders,, gas,,, clean, automatic,
2008,Honda,Accord,$7250,, 70033, excellent, 4 cylinders, fwd, gas, white, full-size, rebuilt, automatic, sedan
1994,Chevy,s10 blazer,$1800,,,,,, gas, white,, clean, automatic,
2006,gmc,2500 savana cargo,$3500,, 285000, good, 8 cylinders, rwd, gas, white, full-size, clean, manual, van
2012,ford,f-150,$18500,, 130000, good, 6 cylinders, 4wd, gas, black, full-size, clean, automatic, pickup
2002,ford,f-250 super duty,$16900, 1FTNW21F12EB31754, 220001, excellent, 8 cylinders, 4wd, diesel, black, full-size, clean, automatic, truck
2002,Bv,ec3,$10000,, 100000, salvage, 8 cylinders, rwd, gas, brown, full-size, salvage, automatic, wagon
1982,Toyota,2wd,$2000,, 22000, good, 4 cylinders, rwd, gas, brown,, clean, manual, truck
2001,dodge,ram 2500,$17900, 3B7KF23751G805209, 182557, excellent, 6 cylinders, 4wd, diesel, red, full-size, clean, manual, truck
1993,93,toyota 4 runner,$1000,, 260000, good, 6 cylinders, 4wd, gas, blue, mid-size, clean, manual, SUV
2008,honda,accord,$7950,, 101215, excellent, 4 cylinders, fwd, gas, black, compact, rebuilt, automatic, sedan
2001,acura,,$2500,, 199020, good, 6 cylinders,, gas, white, mid-size, clean, automatic, sedan
1997,Honda,Civic,$700,,,,,, gas,,, clean, manual,
1980,GMC,,$3900,, 103000, good, 8 cylinders, 4wd, gas, orange, mid-size, clean, manual, pickup
2004,ford,f250 diesel power stroke,$8000,, 240000, fair, 8 cylinders, 4wd, diesel, silver, full-size, clean, automatic, truck
2002,Honda,S2000,$14000,, 102000,,,, gas, silver,, clean, manual,
1999,dodge,durango,$1,, 163000,, 8 cylinders,, gas, silver, full-size, clean, automatic, SUV
2001,Dodge,Dakota,$4865,, 170000,, 8 cylinders,, gas,, mid-size, clean, automatic,
2013,bmw,528i,$18500,, 44000, excellent, 4 cylinders, rwd, gas, grey, full-size, clean, automatic, sedan
2004,Ford,F-250,$8500,, 187892, good, 8 cylinders, rwd, diesel, blue,, clean, automatic, truck
2002,pontiac,grand prix,$450,, 1987828, good,, fwd, gas, red,, clean, automatic,
1997,saturn,sl2,$500,, 230000, salvage, 4 cylinders, fwd, gas,,, clean, manual, other
2004,toyota,tacoma,$5500,,, good, 4 cylinders,, gas, white,, clean, manual,
2015,Honda,Accord 4-door sedan,$21800,, 32400, like new, 6 cylinders, fwd, gas, white, mid-size, clean, automatic, sedan
2007,Honda,Element SC,$5600,, 189100, good, 4 cylinders, fwd, gas, silver,, clean, automatic,
2002,volkswagen,passat 4f W8,$10, WVWUK63B22P440761, 112000, excellent, 8 cylinders, 4wd, gas, silver, mid-size, clean, other, sedan
2011,BMW,X5 1 OWNER,$14990,,,,,, gas,,, clean, automatic,
2000,honda,accord ex,$400,,,,,, gas,,, clean, automatic,
2009,SCION,XB,$6900,,,,,, gas,,, clean, automatic,
2008,SMART,FORTWO,$4990,,,,,, gas,,, clean, automatic,
1994,Audi,100s,$720,, 150000, good, 4 cylinders, fwd, gas,,, clean, automatic,
1997,HONDA,CIVIC LX,$1995,,,,,, gas,,, clean, manual,
2010,MINI,Cooper,$5990, WMWMF3C54ATU76578, 70603, excellent, 4 cylinders, fwd, gas, grey, compact, clean, manual, hatchback
2002,volvo,v70,$1400,, 167000, good, 6 cylinders, rwd, gas,,, clean, automatic,
2004,TOYOTA,SEQUOIA SR5,$7995,,,,,, gas,,, clean, automatic,
2006,bmw,x3 3.0i,$5600,,, good, 6 cylinders, 4wd, gas, white,, clean, automatic,
1996,Honda,Civic EX 4 dr,$1640,, 208960, good, 4 cylinders, fwd, gas, black, compact, clean, manual, sedan
2005,mercedes-benz,cclass,$6500,,, good, 8 cylinders, rwd, gas, black,, clean, automatic, convertible
2005,NISSAN,QUEST,$3995,,,,,, gas,,, clean, automatic,
2006,FORD,EXPLORER XLT,$5995,,,,,, gas,,, clean, automatic,
2006,HONDA,PILOT EX-L,$5995,,,,,, gas,,, clean, automatic,
2003,mini,cooper,$3995,,,,,, gas,,, clean, manual,
2001,toyota,sequoia limited,$10500,, 139000, excellent, 8 cylinders, 4wd, gas,,, clean, automatic,
1997,Ford,F-350,$13500, 3FEKF38GXVMA57599, 177776, good, 8 cylinders, 4wd, gas, red, full-size, clean, manual, truck
2000,ford,escort zx2,$1400,,,,,, gas,,, clean, automatic,
2000,subaru,outback wagon,$1650,, 199820, good, 4 cylinders, 4wd, gas, green, compact, clean, manual, wagon
2006,TOYOTA,TUNDRA DOUBLE CAB 4WD,$12995,,,,,, gas,,, clean, automatic,
2016,FORD,ESCAPE,$19990, 1FMCU9G97GUC13018, 30507,,,, gas, black,, clean, automatic,
2014,MITSUBISHI,OUTLANDER SPORT,$13990, 4A4AR3AU1EE028700, 58519,,,, gas, silver,, clean, automatic,
2007,Honda,ELEMENT SC,$5600,, 189100, good, 4 cylinders, fwd, gas, silver,, clean, automatic,
2012,BUICK,ENCLAVE,$16990, 5GAKVCED1CJ130201, 96082,,,, gas, white,, clean, automatic,
2012,GMC,ACADIA,$15990, 1GKKVRED8CJ123638, 99602,,,, gas, white,, clean, automatic,
2010,DODGE,DAKOTA,$14990, 1D7CW3GK7AS148033, 96407,,,, gas, black,, clean, automatic,
2003,Ford,Focus Wagon SE,$600,, 290000, fair, 4 cylinders, fwd, gas, grey, full-size, salvage, automatic, wagon
2012,JEEP,LIBERTY,$11990, 1C4PJMAK1CW155547, 115433,,,, gas, silver,, clean, automatic,
2014,CHEVROLET,EQUINOX,$13990, 2GNALBEKXE6267668, 94898,,,, gas, blue,, clean, automatic,
2013,VOLKSWAGEN,CC,$10990, WVWRP7AN2DE563002, 127360,,,, gas,,, clean, automatic,
2010,CADILLAC,SRX,$14990, 3GYFNDEYXAS647950, 89253,,,, gas, black,, clean, automatic,
2009,FORD,F-150,$17990, 1FTPX14V19KA23603, 83390,,,, gas, black,, clean, automatic,
2005,toyota,sienna,$7550,,, excellent, 6 cylinders,, gas, blue,, salvage, automatic, van
2013,FORD,EXPLORER,$16990, 1FM5K7D96DGA90104, 105627,,,, gas, black,, clean, automatic,
2014,FORD,EXPLORER,$19990, 1FM5K8D87EGA92264, 97849,,,, gas, black,, clean, automatic,
2009,FORD,F-150,$20990, 1FTPW14V79FB08022, 82935,,,, gas,,, clean, automatic,
2003,volkswagen,golf,$1000,,, fair, 4 cylinders,, gas, silver,, clean, automatic, sedan
2011,FORD,F-150,$21990, 1FTFW1EF9BFC97832, 93603,,,, gas, white,, clean, automatic,
2005,KIA,SORENTO,$5000, KNDJD733X55342878, 136019,,,, gas, black,, clean, automatic,
2003,Ford,Focus zx3,$750,, 183883,,,, gas,,, clean, automatic,
1999,chevrolet,camaro,$7900, 2G1FP32G3X2106879, 130001, excellent, 8 cylinders, rwd, gas, blue, mid-size, clean, automatic, convertible
1997,Ford,F-350 Dump Truck,$13500,,, good, 8 cylinders, 4wd, gas, red, full-size, clean, manual, truck
2002,GMC,,$8000,,, like new, 6 cylinders,, gas,,, clean, automatic,
2000,Ford,f-150,$2395,, 134800, good, 6 cylinders, rwd, gas, white, full-size, clean, automatic, pickup
2012,kia,optima,$2100,,, excellent, 4 cylinders, fwd, gas, silver, full-size, clean, automatic, sedan
2013,bmw,5 series 528i,$19500,, 42500, excellent, 4 cylinders, rwd, gas, grey, full-size, clean, automatic, sedan
2002,gmc,1500 yukon xl,$6900, 1GKEC16Z32J150257, 178080, excellent, 8 cylinders, rwd, gas, red, full-size, clean, automatic, SUV
1996,jeep,grand cherokee,$1250,,,,,, gas,,, clean, automatic,
